source_center,destination_center,trip_count,median_actual_time,median_osrm_time,weight,delay_ratio_iqr,pct_sla_breach,avg_osrm_distance,pct_ftl,delay_Carting_afternoon,delay_Carting_eve_peak,delay_Carting_morn_peak,delay_Carting_night,delay_FTL_afternoon,delay_FTL_eve_peak,delay_FTL_morn_peak,delay_FTL_night,is_chronic_delay
IND683511AAA,IND000000ADM,38,33.0,24.0,1.3875,0.2926984126984127,0.7631578947368421,18.53327894736842,0.0,1.44,1.375,,,,,,,1
IND683511AAA,IND562132AAA,160,353.0,238.0,1.5591130717436732,0.24449910219400417,0.9625,262.783520625,1.0,,,,,,,1.5591130717436732,,1
IND683511AAA,IND680012AAA,55,55.0,38.0,1.4594594594594594,0.22118692426836217,0.8363636363636363,37.78640727272727,0.0,1.456140350877193,1.463772282921219,,,,,,,1
IND683511AAA,IND68004AAA,30,60.0,47.5,1.3138461538461539,0.16104987684729055,0.8666666666666667,42.92077666666667,1.0,,,,,1.3076923076923077,1.3958333333333333,,,1
IND683511AAA,IND680104AAA,48,78.0,55.0,1.4882928905917412,0.20004010060534227,0.9583333333333334,52.66212708333333,1.0,,,,,1.5172413793103448,1.4827586206896552,,,1
IND683511AAA,IND686028AAB,21,117.0,59.0,1.9830508474576272,0.25,1.0,57.64387619047619,1.0,,,,,1.9809053851104914,,1.9830508474576272,,1
IND683565AAA,IND683511AAA,26,33.0,16.5,1.9166666666666665,0.33834586466165417,1.0,13.811846153846155,0.0,2.1571428571428575,1.8333333333333335,,,,,,,1
IND683572AAA,IND680307AAA,22,14.0,9.5,1.3484848484848484,0.7944444444444445,0.7272727272727273,12.14913181818182,0.0,1.303030303030303,1.3693181818181817,,,,,,,1
IND685514AAA,IND625008AAA,45,121.0,94.0,1.4404761904761905,0.35700082850041426,0.8,90.22935333333334,1.0,,,,,,1.4404761904761905,,,1
IND686028AAB,IND689101AAA,46,23.5,18.0,1.3245614035087718,0.13221153846153832,0.8478260869565217,19.930352173913043,0.0,,1.3245614035087718,,,,,,,1
IND686507AAA,IND686513AAA,28,21.0,9.0,2.354166666666667,0.3125,1.0,12.847814285714287,0.0,,2.3333333333333335,,2.5555555555555554,,,,,1
IND686513AAA,IND686540AAA,24,54.0,27.5,1.9642857142857144,0.4353835978835978,1.0,27.681683333333336,0.0,,1.9285714285714286,,2.0,,,,,1
IND688009AAA,IND686028AAB,44,76.0,35.0,2.0217391304347827,1.5746031746031746,1.0,32.17382272727273,0.0,,2.0217391304347827,,,,,,,1
IND688524AAA,IND683511AAA,21,93.0,46.0,2.08,0.48,1.0,42.5286,1.0,,,,,2.170212765957447,,2.08,,1
IND689101AAA,IND689650AAA,11,15.0,13.0,1.3636363636363635,0.36988304093567237,0.7272727272727273,14.171563636363636,0.0,,1.3636363636363635,,,,,,,1
IND689101AAA,IND690548AAA,11,34.0,25.0,1.4166666666666667,0.08769230769230774,1.0,20.490645454545454,0.0,,1.4166666666666667,,,,,,,1
IND689645AAA,IND691551AAA,30,34.0,25.0,1.4491666666666667,0.5751923076923076,0.7333333333333333,23.855316666666667,0.0,,1.4491666666666667,,,,,,,1
IND689650AAA,IND690548AAA,12,51.0,31.5,1.6622807017543861,0.11916246231005756,1.0,29.63761666666667,0.0,,1.6622807017543861,,,,,,,1
IND690548AAA,IND688009AAA,45,27.0,23.0,1.2272727272727273,0.17866004962779147,0.6,19.564062222222223,0.0,,1.2272727272727273,,,,,,,1
IND691001AAB,IND683511AAA,63,129.0,91.0,1.303030303030303,0.25046094844752576,0.8412698412698413,98.89684285714286,1.0,,,,,1.4911242603550297,1.2795698924731183,,1.288,1
IND691001AAB,IND691506AAA,62,27.5,21.0,1.2727272727272727,0.24184782608695654,0.7419354838709677,18.080840322580645,0.0,,1.2727272727272727,,,,,,,1
IND691305AAA,IND689645AAA,45,48.0,20.0,2.3333333333333335,0.2777777777777777,1.0,20.359917777777778,0.0,,2.3333333333333335,,,,,,,1
IND691506AAA,IND691305AAA,41,23.0,15.0,1.5263157894736843,0.21666666666666679,1.0,14.621599999999999,0.0,,1.5263157894736843,,,,,,,1
IND691551AAA,IND691001AAB,74,71.0,38.0,2.098086124401914,0.7342237282168633,1.0,28.455995945945947,0.0,,2.098086124401914,,,,,,,1
IND691574AAA,IND695614AAA,42,23.5,16.5,1.5,0.20833333333333326,1.0,18.308409523809523,0.0,,1.5,,,,,,,1
IND695012AAA,IND691001AAB,36,79.0,56.0,1.496031746031746,0.2961551858103584,0.8055555555555556,47.761575,1.0,,,,,1.5303030303030303,1.496031746031746,1.3859649122807018,,1
IND695101AAB,IND691574AAA,39,14.0,13.0,1.1666666666666667,0.18653846153846154,0.3333333333333333,12.535941025641026,0.0,,1.1666666666666667,,,,,,,0
IND695121AAA,IND695572AAB,34,23.5,13.0,1.75,0.15384615384615397,1.0,12.37925294117647,0.0,,1.75,,,,,,,1
IND695572AAB,IND695541AAA,26,22.0,19.5,1.297979797979798,0.3648897058823528,0.6538461538461539,16.466346153846153,0.0,,1.297979797979798,,,,,,,1
IND695582AAA,IND695101AAB,38,22.5,17.0,1.1778656126482214,0.15340909090909105,0.2894736842105263,15.236528947368422,0.0,,1.1778656126482214,,,,,,,0
IND700026AAC,IND712311AAA,10,112.0,25.5,3.765,2.908386752136752,1.0,25.702980000000004,0.0,,,5.095882352941176,2.625,,,,,1
IND700028AAB,IND712311AAA,19,47.0,17.0,2.9411764705882355,3.020833333333334,1.0,17.73703684210526,0.0,,6.958899999999994,5.125,2.764705882352941,,,,,1
IND700053AAA,IND712311AAA,18,72.0,26.0,4.196153846153846,4.715480418719206,1.0,22.69056111111111,0.0,6.42175769230769,1.8461538461538463,3.2,,,,,,1
IND700053AAA,IND743513AAA,12,50.0,14.0,3.0,1.2333743842364533,1.0,20.51125,0.0,,3.0,,,,,,,1
IND700065AAA,IND712311AAA,46,48.0,19.5,2.853535353535354,2.096428571428572,1.0,17.342032608695654,0.0,3.658730158730159,2.4444444444444446,3.666666666666667,2.548872180451128,,,,,1
IND700065AAB,IND712310AAA,30,80.0,19.5,5.666193181818182,2.69526363636363,1.0,17.765193333333333,0.0,5.954545454545455,5.333333333333333,,,,,,,1
IND700088AAA,IND712311AAA,27,64.0,25.0,3.0,1.3255020841227738,1.0,22.74378148148148,0.0,3.4285714285714284,2.8248275862068963,,,,,,,1
IND700136AAG,IND712310AAA,50,72.0,18.5,4.611111111111111,1.8381578947368422,1.0,18.56688,0.0,4.842105263157895,3.5238095238095237,,,,,,,1
IND711303AAA,IND721134AAB,34,29.0,36.0,0.7837837837837838,0.2367117117117118,0.11764705882352941,41.44723235294117,0.0,,0.7837837837837838,,,,,,,0
